pcode_ts,light_solar_rate
MMR001001,0.02128
MMR001002,0.04637
MMR001003,0.04507
MMR001004,0.03311
MMR001005,0.00042
MMR001006,0.00169
MMR001007,0.04269
MMR001008,0.02651
MMR001009,0.03284
MMR001010,0.03536
MMR001011,0.0516
MMR001012,0.05964
MMR001013,0.03945
MMR001014,0.0427
MMR001015,0.0237
MMR001016,0.03831
MMR001018,0.00017
MMR001017,0.02292
MMR002001,0.02617
MMR002002,0.0533
MMR002003,0.03259
MMR002004,0.04183
MMR002005,0.01554
MMR002006,0.04903
MMR002007,0.04511
MMR003001,0.00909
MMR003002,0.01576
MMR003004,0.04219
MMR003003,0.02292
MMR003005,0.00383
MMR003006,0.01158
MMR003007,0.00929
MMR004002,0.02268
MMR004003,0.03229
MMR004001,0.04064
MMR004004,0.03327
MMR004005,0.03744
MMR004006,0.02269
MMR004007,0.02696
MMR004008,0.02181
MMR004009,0.03454
MMR005001,0.00762
MMR005002,0.02103
MMR005003,0.02432
MMR005004,0.00985
MMR005005,0.03119
MMR005006,0.02463
MMR005007,0.0268
MMR005008,0.01685
MMR005009,0.0273
MMR005010,0.01931
MMR005011,0.0295
MMR005012,0.00632
MMR005013,0.02113
MMR005014,0.02807
MMR005015,0.01546
MMR005020,0.05009
MMR005021,0.03518
MMR005022,0.05765
MMR005023,0.042
MMR005024,0.02616
MMR005025,0.02771
MMR005026,0.05497
MMR005027,0.03446
MMR005028,0.0146
MMR005029,0.01574
MMR005030,0.03752
MMR005031,0.03316
MMR005032,0.02105
MMR005033,0.03244
MMR005034,0.02028
MMR005035,0.03972
MMR005036,0.04137
MMR005037,0.0454
MMR005016,0.026
MMR005018,0.015
MMR005019,0.02945
MMR005017,0.02865
MMR006001,0.00916
MMR006002,0.00232
MMR006003,0.01039
MMR006004,0.01327
MMR006005,0.00287
MMR006006,0.00139
MMR006007,0.00414
MMR006008,0.00698
MMR006009,0.00327
MMR006010,0.00583
MMR007001,0.0037
MMR007002,0.01184
MMR007003,0.01798
MMR007004,0.01047
MMR007005,0.01488
MMR007006,0.02556
MMR007007,0.01861
MMR007008,0.01537
MMR007009,0.01188
MMR007010,0.01992
MMR007011,0.02875
MMR007012,0.01365
MMR007013,0.02057
MMR007014,0.02763
MMR008001,0.00966
MMR008002,0.04195
MMR008003,0.0117
MMR008004,0.01251
MMR008005,0.01413
MMR008006,0.01303
MMR008007,0.0134
MMR008008,0.01091
MMR008009,0.01325
MMR008010,0.0157
MMR008011,0.01913
MMR008012,0.01778
MMR008013,0.01128
MMR008014,0.01925
MMR009001,0.02213
MMR009002,0.01996
MMR009003,0.02738
MMR009004,0.03236
MMR009005,0.0364
MMR009006,0.05297
MMR009007,0.0123
MMR009008,0.00839
MMR009009,0.01373
MMR009010,0.01086
MMR009011,0.01691
MMR009012,0.02302
MMR009013,0.02432
MMR009014,0.03096
MMR009015,0.02951
MMR009016,0.02001
MMR009017,0.03181
MMR009018,0.01155
MMR009019,0.02492
MMR009020,0.04738
MMR009021,0.02336
MMR009022,0.02083
MMR009023,0.02396
MMR009024,0.01436
MMR009025,0.01615
MMR010001,0.00015
MMR010002,4e-05
MMR010003,0.00016
MMR010004,0.00046
MMR010005,0.00157
MMR010006,0.00864
MMR010007,0.0093
MMR010008,0.0224
MMR010009,0.01524
MMR010010,0.01527
MMR010011,0.01909
MMR010012,0.03034
MMR010013,0.01142
MMR010014,0.01763
MMR010015,0.0191
MMR010016,0.0242
MMR010017,0.02203
MMR010018,0.02942
MMR010019,0.0277
MMR010020,0.01919
MMR010021,0.02879
MMR010022,0.02855
MMR010023,0.04115
MMR010024,0.03898
MMR010028,0.01882
MMR010029,0.03259
MMR010030,0.02235
MMR010031,0.02357
MMR011001,0.00116
MMR011002,0.00685
MMR011003,0.0139
MMR011004,0.00469
MMR011005,0.0039
MMR011006,0.0046
MMR011007,0.00689
MMR011008,0.00656
MMR011009,0.00575
MMR011010,0.00916
MMR012001,0.00467
MMR012002,0.00377
MMR012007,0.00412
MMR012008,0.00938
MMR012003,0.01391
MMR012004,0.00741
MMR012005,0.00843
MMR012006,0.00987
MMR012009,0.00991
MMR012010,0.00811
MMR012011,0.00356
MMR012012,0.00409
MMR012013,0.00205
MMR012014,0.00832
MMR012015,0.00681
MMR012016,0.008
MMR012017,0.00883
MMR013001,0.00012
MMR013002,0.00018
MMR013003,0.00295
MMR013004,0.00343
MMR013005,0.00634
MMR013006,0.01008
MMR013007,0.00047
MMR013008,0.0005
MMR013009,1e-05
MMR013010,1e-05
MMR013011,1e-05
MMR013012,0.00013
MMR013013,8e-05
MMR013014,0.00011
MMR013015,0.0
MMR013016,0.0
MMR013017,0.0
MMR013018,0.00043
MMR013019,0.0001
MMR013020,0.00215
MMR013021,0.00172
MMR013022,2e-05
MMR013023,0.00679
MMR013024,0.01697
MMR013025,0.0345
MMR013026,0.01629
MMR013027,0.01207
MMR013028,0.0127
MMR013029,0.01587
MMR013030,0.00379
MMR013031,0.00042
MMR013032,0.0
MMR013033,0.0
MMR013034,0.0
MMR013035,0.0
MMR013036,0.0
MMR013037,6e-05
MMR013038,7e-05
MMR013039,0.0
MMR013040,5e-05
MMR013041,0.0
MMR013042,2e-05
MMR013043,0.0
MMR013044,0.0
MMR013045,0.0
MMR014001,0.05031
MMR014002,0.07165
MMR014003,0.10291
MMR014004,0.12541
MMR014005,0.05224
MMR014006,0.08157
MMR014007,0.05863
MMR014008,0.07512
MMR014009,0.07479
MMR014010,0.07281
MMR014011,0.05885
MMR014012,0.04844
MMR014013,0.06492
MMR014014,0.04842
MMR014015,0.06993
MMR014016,0.06775
MMR014017,0.10965
MMR014018,0.03818
MMR014019,0.02915
MMR014020,0.08773
MMR014021,0.02863
MMR015001,0.05082
MMR015002,0.1072
MMR015003,0.09939
MMR015004,0.11062
MMR015009,0.00203
MMR015010,0.00765
MMR015011,0.05555
MMR015012,0.06423
MMR015013,0.092
MMR015014,0.09829
MMR015015,0.06905
MMR015016,0.03417
MMR015017,0.09304
MMR015018,0.09381
MMR015019,0.04295
MMR015020,0.0756
MMR015022,0.00735
MMR015023,0.02179
MMR015021,0.04916
MMR015008,0.05253
MMR015007,0.05299
MMR015024,0.03533
MMR015005,0.03384
MMR015006,0.06559
MMR016001,0.01262
MMR016002,0.02068
MMR016003,0.01251
MMR016005,0.00516
MMR016006,0.00382
MMR016007,0.01481
MMR016008,0.0069
MMR016009,0.00792
MMR016010,0.03627
MMR016011,0.04462
MMR017002,0.00891
MMR017007,0.0138
MMR017005,0.00991
MMR017004,0.01259
MMR017001,0.00722
MMR017006,0.01751
MMR017003,0.0131
MMR017025,0.011
MMR017026,0.02186
MMR017023,0.01232
MMR017024,0.01551
MMR017021,0.00864
MMR017022,0.01058
MMR017020,0.00819
MMR017019,0.00889
MMR017014,0.00527
MMR017017,0.00647
MMR017015,0.00607
MMR017018,0.00984
MMR017016,0.00987
MMR017012,0.02349
MMR017009,0.0076
MMR017011,0.01055
MMR017010,0.02505
MMR017008,0.00916
MMR017013,0.01254
MMR018003,0.03461
MMR018001,0.00357
MMR018008,0.01607
MMR018005,0.00557
MMR018006,0.00503
MMR018007,0.01716
MMR018002,0.00037
MMR018004,0.00631
